Lot Area,Gr Liv Area,TotRms AbvGrd,Year Built,Year Remod/Add,Garage Cars,Total Bsmt SF,Overall Qual,Bldg Type,House Style,Kitchen Qual,Neighborhood,Real_Price,Predicted_Price
2529,1055,4,1977,1977,2.0,1055.0,7,Twnhs,1Story,TA,Other,148500.0,137849.53
10927,1904,8,2005,2005,2.0,1058.0,8,1Fam,2Story,Ex,NridgHt,275000.0,255903.7
10625,1660,7,2007,2007,3.0,1660.0,8,1Fam,1Story,Gd,Somerst,256000.0,267444.9
13825,1601,6,1958,1987,1.0,533.0,5,1Fam,SLvl,TA,Sawyer,140000.0,156432.34
7200,1904,7,1950,1982,1.0,1208.0,5,1Fam,1.5Fin,TA,NAmes,138000.0,147662.86
11796,1959,8,2004,2005,2.0,847.0,7,1Fam,2Story,Gd,Gilbert,215000.0,218495.06
7200,874,5,1971,1971,2.0,864.0,4,1Fam,1Story,TA,NAmes,97500.0,110780.23
13384,1360,8,1969,1979,1.0,1104.0,5,1Fam,1Story,TA,Mitchel,140000.0,151216.95
10200,672,4,1940,1997,1.0,672.0,5,1Fam,1Story,TA,Sawyer,108000.0,125898.516
10793,1620,7,1969,1969,2.0,780.0,5,1Fam,2Story,TA,NWAmes,152000.0,158352.44
15523,864,5,1972,1972,1.0,864.0,5,1Fam,1Story,TA,CollgCr,133500.0,129930.06
2880,3005,9,2004,2005,3.0,1376.0,7,Twnhs,2Story,Gd,Somerst,280750.0,235532.61
9370,1731,7,1992,1993,2.0,836.0,6,1Fam,2Story,Gd,SawyerW,248500.0,181827.78
5748,1778,5,2005,2006,2.0,1573.0,8,TwnhsE,1Story,Ex,Crawfor,375000.0,274501.75
2280,1456,7,1976,1976,2.0,855.0,6,Twnhs,2Story,TA,Other,148500.0,142645.11
10175,1425,7,1964,1964,2.0,1425.0,6,1Fam,1Story,TA,NAmes,180500.0,156397.0
6000,1132,5,1939,1950,1.0,608.0,6,1Fam,1.5Fin,TA,BrkSide,134000.0,112607.87
26073,1898,7,1956,1956,2.0,1898.0,5,1Fam,1Story,TA,Crawfor,236500.0,172378.08
7861,1509,7,2002,2003,2.0,783.0,6,1Fam,2Story,Gd,Gilbert,183200.0,176301.08
10950,948,5,1952,1952,2.0,948.0,6,1Fam,1Story,TA,NAmes,125000.0,130774.41
7745,1951,9,1900,1950,2.0,938.0,4,2fmCon,1.5Fin,Fa,OldTown,111500.0,100938.81
10480,1964,8,1976,1976,2.0,803.0,7,1Fam,2Story,TA,NWAmes,205000.0,180176.53
8064,1133,5,1950,1950,2.0,795.0,6,1Fam,1.5Fin,TA,NAmes,128500.0,131575.78
11700,1152,7,1968,1968,2.0,912.0,6,1Fam,1Story,TA,NWAmes,143450.0,148664.53
9350,1265,6,1965,1999,2.0,1219.0,5,1Fam,SLvl,Gd,NAmes,179900.0,172590.44
14684,2196,7,1990,1991,3.0,2158.0,7,1Fam,1Story,Gd,SawyerW,271900.0,268160.78
12090,1868,7,1984,2003,2.0,585.0,6,1Fam,SLvl,TA,NWAmes,178000.0,193485.52
9662,1967,10,1977,1977,2.0,1967.0,5,Duplex,1Story,TA,Sawyer,156500.0,154897.34
